"Reference","Value","Footprint","Manufacturer_Name","Manufacturer_Part_Number","digikey_part_number","mount_type"
"B1","STX-3000","kicad libraries:STX-3000_KYC","Kycon, Inc.","STX-3000","2092-STX-3000-ND","tht"
"B2","STX-3000","kicad libraries:STX-3000_KYC","Kycon, Inc.","STX-3000","2092-STX-3000-ND","tht"
"B3","STX-3000","kicad libraries:STX-3000_KYC","Kycon, Inc.","STX-3000","2092-STX-3000-ND","tht"
"B4","STX-3000","kicad libraries:STX-3000_KYC","Kycon, Inc.","STX-3000","2092-STX-3000-ND","tht"
"B5","STX-3000","kicad libraries:STX-3000_KYC","Kycon, Inc.","STX-3000","2092-STX-3000-ND","tht"
"B6","STX-3000","kicad libraries:STX-3000_KYC","Kycon, Inc.","STX-3000","2092-STX-3000-ND","tht"
"C1","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Samsung Electro-Mechanics","CL31B224KBFNNNE","1276-1106-1-ND","smd"
"C2","1000uF","Capacitor_THT:C_Radial_D10.0mm_H16.0mm_P5.00mm","KEMET","A750MV108M1EAAE014","399-A750MV108M1EAAE014-ND","tht"
"C3","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Samsung Electro-Mechanics","CL31B224KBFNNNE","1276-1106-1-ND","smd"
"C4","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Samsung Electro-Mechanics","CL31B224KBFNNNE","1276-1106-1-ND","smd"
"C5","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Samsung Electro-Mechanics","CL31B224KBFNNNE","1276-1106-1-ND","smd"
"C6","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Samsung Electro-Mechanics","CL31B224KBFNNNE","1276-1106-1-ND","smd"
"C7","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Samsung Electro-Mechanics","CL31B224KBFNNNE","1276-1106-1-ND","smd"
"C8","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Samsung Electro-Mechanics","CL31B224KBFNNNE","1276-1106-1-ND","smd"
"C9","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Samsung Electro-Mechanics","CL31B224KBFNNNE","1276-1106-1-ND","smd"
"C10","1000uF","Capacitor_THT:C_Radial_D10.0mm_H16.0mm_P5.00mm","KEMET","A750MV108M1EAAE014","399-A750MV108M1EAAE014-ND","tht"
"C11","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Samsung Electro-Mechanics","CL31B224KBFNNNE","1276-1106-1-ND","smd"
"C12","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Samsung Electro-Mechanics","CL31B224KBFNNNE","1276-1106-1-ND","smd"
"C13","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Samsung Electro-Mechanics","CL31B224KBFNNNE","1276-1106-1-ND","smd"
"C14","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Samsung Electro-Mechanics","CL31B224KBFNNNE","1276-1106-1-ND","smd"
"C15","100nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","KEMET","C1206C104K5RACTU","399-C1206C104K5RACTUCT-ND","smd"
"C16","68pF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","KEMET","C1206C680J5HACTU","399-C1206C680J5HACTUCT-ND","smd"
"C17","15uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","TDK Corporation","C3216X5R1V156M160AC","445-14696-1-ND","smd"
"C18","22uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","TDK Corporation","C3216X7S1A226M160AC","445-8035-1-ND","smd"
"C19","22uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","TDK Corporation","C3216X7S1A226M160AC","445-8035-1-ND","smd"
"C20","22uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","TDK Corporation","C3216X7S1A226M160AC","445-8035-1-ND","smd"
"D1","green","LED_THT:LED_D5.0mm","Everlight Electronics Co Ltd","333-2SYGT/S530-E2(DGK)","1080-333-2SYGT/S530-E2(DGK)-ND","tht"
"D2","green","LED_THT:LED_D5.0mm","Everlight Electronics Co Ltd","333-2SYGT/S530-E2(DGK)","1080-333-2SYGT/S530-E2(DGK)-ND","tht"
"D3","green","LED_THT:LED_D5.0mm","Everlight Electronics Co Ltd","333-2SYGT/S530-E2(DGK)","1080-333-2SYGT/S530-E2(DGK)-ND","tht"
"D4","Diode","kicad libraries:D_PowerDI-5","Diodes Incorporated","SDT10A45P5-13D","31-SDT10A45P5-13DCT-ND","smd"
"D5","Diode","kicad libraries:D_PowerDI-5","Diodes Incorporated","SDT10A45P5-13D","31-SDT10A45P5-13DCT-ND","smd"
"D6","Diode","kicad libraries:D_PowerDI-5","Diodes Incorporated","SDT10A45P5-13D","31-SDT10A45P5-13DCT-ND","smd"
"D7","Diode","kicad libraries:D_PowerDI-5","Diodes Incorporated","SDT10A45P5-13D","31-SDT10A45P5-13DCT-ND","smd"
"D8","Diode","kicad libraries:D_PowerDI-5","Diodes Incorporated","SDT10A45P5-13D","31-SDT10A45P5-13DCT-ND","smd"
"D9","Diode","kicad libraries:D_PowerDI-5","Diodes Incorporated","SDT10A45P5-13D","31-SDT10A45P5-13DCT-ND","smd"
"D10","Diode","kicad libraries:D_PowerDI-5","Diodes Incorporated","SDT10A45P5-13D","31-SDT10A45P5-13DCT-ND","smd"
"D11","Diode","kicad libraries:D_PowerDI-5","Diodes Incorporated","SDT10A45P5-13D","31-SDT10A45P5-13DCT-ND","smd"
"D12","D_Schottky","Diode_SMD:D_SOD-123F","Good-Ark Semiconductor","FS26","4786-FS26CT-ND","smd"
"D13","blue","LED_THT:LED_D5.0mm_Clear","American Bright Optoelectronics Corporation","BL-BBX1V4V-2-B02","2007-BL-BBX1V4V-2-B02-ND","tht"
"J1","1017514","kicad libraries:PHOENIX_1017514","Phoenix Contact","1017514","277-17504-ND","tht"
"J2","Screw_Terminal_01x04","kicad libraries:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","On Shore Technology Inc.","OSTTC042162","ED2611-ND","tht"
"J3","Screw_Terminal_01x03","kicad libraries:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","On Shore Technology Inc.","OSTTC032162","ED2610-ND","tht"
"J4","1017514","kicad libraries:PHOENIX_1017514","Phoenix Contact","1017514","277-17504-ND","tht"
"J5","VP0265840000G","kicad libraries:CONN04_VP026584_20P32X18P3_AMP","Amphenol Anytek","VP0265840000G","1818-VP0265840000G-ND","tht"
"J6","Conn_01x09_Pin","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","DNP","DNP","DNP","DNP"
"J7","Conn_01x02","TestPoint:TestPoint_Bridge_Pitch3.81mm_Drill1.3mm","DNP","DNP","DNP","DNP"
"L1","15uH","kicad libraries:IND_SRP6540-150M","Bourns Inc.","SRP6540-150M","SRP6540-150MCT-ND","smd"
"pwr1","SW_SPST","kicad libraries:CONN_OSTTC022162_OST","On Shore Technology Inc.","OSTTC022162","ED2609-ND","tht"
"Q1","SQD40031EL_GE3","kicad libraries:DPAK_0031EL_GE3_VIS","Vishay Siliconix","SQD40031EL_GE3","SQD40031EL_GE3CT-ND","smd"
"Q2","SQD40031EL_GE3","kicad libraries:DPAK_0031EL_GE3_VIS","Vishay Siliconix","SQD40031EL_GE3","SQD40031EL_GE3CT-ND","smd"
"Q3","SQD40031EL_GE3","kicad libraries:DPAK_0031EL_GE3_VIS","Vishay Siliconix","SQD40031EL_GE3","SQD40031EL_GE3CT-ND","smd"
"Q4","SQD40031EL_GE3","kicad libraries:DPAK_0031EL_GE3_VIS","Vishay Siliconix","SQD40031EL_GE3","SQD40031EL_GE3CT-ND","smd"
"R1","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Stackpole Electronics Inc","RNCP1206FTD100K","738-RNCP1206FTD100KCT-ND","smd"
"R2","13.7k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Stackpole Electronics Inc","RMCF1206FT13K7","738-RMCF1206FT13K7CT-ND","smd"
"R3","2.74k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Stackpole Electronics Inc","RNCP1206FTD2K74","RNCP1206FTD2K74CT-ND","smd"
"R4","2.74k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Stackpole Electronics Inc","RNCP1206FTD2K74","RNCP1206FTD2K74CT-ND","smd"
"R5","680","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","YAGEO","RC1206FR-07680RL","311-680FRCT-ND","smd"
"R6","100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","YAGEO","RC1206JR-13100RL","13-RC1206JR-13100RLCT-ND","smd"
"R7","220","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","YAGEO","RC1206JR-13220RL","13-RC1206JR-13220RLCT-ND","smd"
"SW1","SW_SPST","kicad libraries:CONN_OSTTC022162_OST","On Shore Technology Inc.","OSTTC022162","ED2609-ND","tht"
"TP1","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","DNP","DNP","DNP","DNP"
"TP2","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","DNP","DNP","DNP","DNP"
"TP3","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","DNP","DNP","DNP","DNP"
"TP4","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","DNP","DNP","DNP","DNP"
"U1","IFX007TAUMA1","kicad libraries:PG-TO263-7-1_INF","Infineon Technologies","IFX007TAUMA1","IFX007TAUMA1CT-ND","smd"
"U2","IFX007TAUMA1","kicad libraries:PG-TO263-7-1_INF","Infineon Technologies","IFX007TAUMA1","IFX007TAUMA1CT-ND","smd"
"U3","rpi pico","kicad libraries:MODULE_SC0918","Raspberry Pi","SC0918","2648-SC0918CT-ND","smd"
"U4","IFX007TAUMA1","kicad libraries:PG-TO263-7-1_INF","Infineon Technologies","IFX007TAUMA1","IFX007TAUMA1CT-ND","smd"
"U5","IFX007TAUMA1","kicad libraries:PG-TO263-7-1_INF","Infineon Technologies","IFX007TAUMA1","IFX007TAUMA1CT-ND","smd"
"U6","TPS54202HDDCR","kicad libraries:SOT95P280X110-6N","Texas Instruments","TPS54202HDDCR","296-44396-1-ND","smd"
